élève,critères d'évaluation,note (à cocher),commentaire (optionel)
Camille,A. Compréhension et traitement du sujet ,note (à cocher),commentaire (optionel)
,1. Analyse du sujet — /1,FALSE,
,Niveau,FALSE,
,0,TRUE,
,"0,25",TRUE,
,"0,5",TRUE,
,"0,75",TRUE,
,1,FALSE,
,2. Problématique — /1,FALSE,
,Niveau,FALSE,
,0,FALSE,
,"0,25",FALSE,
,"0,5",FALSE,
,"0,75",FALSE,
,1,FALSE,
,"3. Réponse au sujet — /0,5",FALSE,
,0 : hors sujet,FALSE,
,"0,25 : réponse partielle",FALSE,
,"0,5 : démonstration constamment centrée sur le sujet",FALSE,
Marc,A. Compréhension et traitement du sujet ,note (à cocher),commentaire (optionel)
,1. Analyse du sujet — /1,FALSE,
,Niveau,FALSE,
,0,TRUE,
,"0,25",TRUE,
,"0,5",TRUE,
,"0,75",TRUE,
,1,FALSE,
,2. Problématique — /1,FALSE,
,Niveau,FALSE,
,0,FALSE,
,"0,25",FALSE,
,"0,5",FALSE,
,"0,75",FALSE,
,1,FALSE,
,"3. Réponse au sujet — /0,5",FALSE,
,0 : hors sujet,FALSE,
,"0,25 : réponse partielle",FALSE,
,"0,5 : démonstration constamment centrée sur le sujet",FALSE,
Julien,A. Compréhension et traitement du sujet ,note (à cocher),commentaire (optionel)
,1. Analyse du sujet — /1,FALSE,
,Niveau,FALSE,
,0,TRUE,
,"0,25",TRUE,
,"0,5",TRUE,
,"0,75",TRUE,
,1,FALSE,
,2. Problématique — /1,FALSE,
,Niveau,FALSE,
,0,FALSE,
,"0,25",FALSE,
,"0,5",FALSE,
,"0,75",FALSE,
,1,FALSE,
,"3. Réponse au sujet — /0,5",FALSE,
,0 : hors sujet,FALSE,
,"0,25 : réponse partielle",FALSE,
,"0,5 : démonstration constamment centrée sur le sujet",FALSE,
Bertrand,A. Compréhension et traitement du sujet ,note (à cocher),commentaire (optionel)
,1. Analyse du sujet — /1,FALSE,
,Niveau,FALSE,
,0,TRUE,
,"0,25",TRUE,
,"0,5",TRUE,
,"0,75",TRUE,
,1,FALSE,
,2. Problématique — /1,FALSE,
,Niveau,FALSE,
,0,FALSE,
,"0,25",FALSE,
,"0,5",FALSE,
,"0,75",FALSE,
,1,FALSE,
,"3. Réponse au sujet — /0,5",FALSE,
,0 : hors sujet,FALSE,
,"0,25 : réponse partielle",FALSE,
,"0,5 : démonstration constamment centrée sur le sujet",FALSE,
